unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
178,scene,classroom-s,0.14558281375940704,black-c,139916835.0,3282297.0,713245.0,0.005005723830037988,seat,1488057.0,2090099.0,128334.0,0.037200180183209454,screen,677188.0,852341.0,41742.0,0.028056435497823277,classroom-s,639744.0,1428222.0,262801.0,0.14558281375940704,,24924928.0,124563.0,114442.0,0.004589603974710457
280,scene,skyscraper-s,0.1450352665265315,blue-c,61494563.0,3572471.0,615178.0,0.009544767803118036,skyscraper,1270392.0,3497963.0,391115.0,0.0893519660790818,crosswalk,241792.0,991637.0,9333.0,0.007624402007685671,skyscraper-s,4402944.0,3026070.0,940992.0,0.1450352665265315,,24924928.0,105339.0,83277.0,0.0033381582307124027
327,scene,poolroom-home-s,0.14464325325257746,red-c,21004512.0,3345243.0,186018.0,0.00769822978953959,pool table,435101.0,2184357.0,303173.0,0.13088760666325602,screen,677188.0,1131037.0,109714.0,0.06459422399972682,poolroom-home-s,1317120.0,1531311.0,359943.0,0.14464325325257746,paisley,1555456.0,132894.0,15114.0,0.009032796329985729
411,object,sea,0.14412644676481315,blue-c,61494563.0,3646230.0,1371930.0,0.021514104775554804,sea,2272224.0,3450129.0,720849.0,0.14412644676481315,clouds,116722.0,682259.0,3537.0,0.004446573234570881,coast-s,1103872.0,1280420.0,297199.0,0.14239854189535397,,24924928.0,399239.0,258681.0,0.010320206837401836
112,scene,amphitheater-s,0.14409200574295822,green-c,63326720.0,3511704.0,381449.0,0.005739788788159558,grandstand,516123.0,1837020.0,143230.0,0.06481250619368274,crosswalk,241792.0,397812.0,20004.0,0.03228534538411878,amphitheater-s,275968.0,1115360.0,175230.0,0.14409200574295822,striped,2433536.0,964066.0,321216.0,0.10441342536339718
236,object,airplane,0.14380094487019154,blue-c,61494563.0,3546049.0,574231.0,0.008907448984921303,airplane,1293178.0,3387729.0,588493.0,0.14380094487019154,body,1291612.0,2472563.0,302484.0,0.08738041610299706,arrival_gate-outdoor-s,451584.0,841112.0,132488.0,0.11419331706038917,potholed,1580544.0,131926.0,7719.0,0.004527933991533074
490,scene,jacuzzi-indoor-s,0.1432626276721467,blue-c,61494563.0,3393413.0,760662.0,0.011861747398308309,swimming pool,200439.0,1967461.0,133311.0,0.06552232416473303,arm,2299112.0,610933.0,12607.0,0.004351085338150463,jacuzzi-indoor-s,526848.0,1324755.0,232025.0,0.1432626276721467,crystalline,1530368.0,297203.0,23319.0,0.01292446953086376
46,scene,field-cultivated-s,0.14309685040743242,green-c,63326720.0,3187927.0,931695.0,0.014206359603940975,field,1883336.0,1381197.0,266475.0,0.08888253662871098,pot,422616.0,228240.0,12569.0,0.019691768749794367,field-cultivated-s,639744.0,867851.0,188726.0,0.14309685040743242,frilly,1618176.0,1683043.0,192507.0,0.06192500302376032
482,object,horse,0.1422225785718893,brown-c,182265724.0,3505829.0,1052081.0,0.005695560888134197,horse,1230680.0,3214061.0,553432.0,0.1422225785718893,torso,7669375.0,2654423.0,575323.0,0.05901671799948197,corral-s,175616.0,275670.0,20217.0,0.046899684273283386,,24924928.0,223295.0,211788.0,0.00849311459316458
505,part,screen,0.14176453466232802,white-c,72511065.0,2112807.0,445283.0,0.006002850768703621,tvmonitor,1019561.0,1167662.0,179787.0,0.08956051400891485,screen,677188.0,417215.0,135884.0,0.14176453466232802,home_theater-s,313600.0,548522.0,16567.0,0.019593048352856995,,24924928.0,70225.0,54220.0,0.002173936315854744
440,scene,bar-s,0.14168250590911316,orange-c,30348501.0,3232389.0,213917.0,0.00641104004249951,bar,337147.0,817438.0,67603.0,0.06219330218899669,body,1291612.0,407226.0,33938.0,0.020384407471920236,bar-s,765184.0,517228.0,159147.0,0.14168250590911316,,24924928.0,31872.0,29856.0,0.0011977400839830185
127,scene,jacuzzi-indoor-s,0.14000817955664344,grey-c,159331282.0,3538109.0,1042693.0,0.006443269330008822,bathtub,583451.0,1469396.0,148871.0,0.07818953600255465,faucet,46285.0,737696.0,7844.0,0.010106463163075589,jacuzzi-indoor-s,526848.0,1326811.0,227654.0,0.14000817955664344,crystalline,1530368.0,57072.0,4898.0,0.0030950205428987034
283,scene,home_theater-s,0.13979949989676768,black-c,139916835.0,3369286.0,1075566.0,0.007563193885292129,tvmonitor,1019561.0,1493769.0,209141.0,0.09076555786005401,screen,677188.0,895628.0,130581.0,0.09054072325245192,home_theater-s,313600.0,928525.0,152350.0,0.13979949989676768,chequered,1530368.0,29400.0,2633.0,0.0016909259633878886
132,scene,bowling_alley-s,0.13951584213765802,black-c,139916835.0,2567044.0,765748.0,0.005403317095679169,car,5354795.0,1686163.0,348272.0,0.05203770205265868,wheel,1513439.0,1142870.0,139291.0,0.05533969165099336,bowling_alley-s,301056.0,506136.0,98828.0,0.13951584213765802,freckled,1555456.0,273158.0,39249.0,0.02193459691007704
172,scene,bank_vault-s,0.13858431544769292,black-c,139916835.0,3367085.0,841588.0,0.0059082717067563875,elevator door,56315.0,866939.0,22822.0,0.02534561188407342,door frame,221497.0,281249.0,5471.0,0.011001960685737265,bank_vault-s,125440.0,507162.0,76998.0,0.13858431544769292,interlaced,1630720.0,443132.0,102299.0,0.051887522171607865
394,object,house,0.13793377177163704,green-c,63326720.0,3609923.0,751715.0,0.011357797352291445,house,1833277.0,3442011.0,639440.0,0.13793377177163704,roof,443437.0,1324160.0,114727.0,0.06941078245718053,house-s,689920.0,2056354.0,130988.0,0.05008553557813562,,24924928.0,313629.0,285098.0,0.011425189589948231
224,scene,beach-s,0.13772402701447461,blue-c,61494563.0,3588828.0,1130187.0,0.017672093488857885,sea,2272224.0,3471441.0,671012.0,0.13228028804651137,body,1291612.0,669327.0,29069.0,0.015047078737182109,beach-s,990976.0,1284769.0,275484.0,0.13772402701447461,potholed,1580544.0,262059.0,49163.0,0.027412681773574806
400,object,washer,0.1360988034354926,grey-c,159331282.0,3304030.0,1014916.0,0.006279628222170672,washer,211900.0,975029.0,142188.0,0.1360988034354926,button panel,31244.0,589646.0,4451.0,0.007220503569696271,utility_room-s,413952.0,844391.0,148577.0,0.1338813767947477,,24924928.0,8852.0,8361.0,0.0003354407001142087
393,scene,windmill-s,0.134952538315401,blue-c,61494563.0,3235789.0,563021.0,0.008774262404649494,windmill,50572.0,2319498.0,46163.0,0.019864392163713954,blade,20216.0,796036.0,9782.0,0.012129403449601348,windmill-s,250880.0,1124956.0,163595.0,0.134952538315401,meshed,1756160.0,278294.0,17164.0,0.008508444497320663
156,scene,television_studio-s,0.13446584692910296,black-c,139916835.0,3219255.0,1058335.0,0.007448984536671486,tvmonitor,1019561.0,1846458.0,91273.0,0.03289418202603049,screen,677188.0,979456.0,71830.0,0.04532393075780502,television_studio-s,200704.0,817782.0,120719.0,0.13446584692910296,,24924928.0,217060.0,197185.0,0.007904852966768268
122,scene,amusement_park-s,0.13421753869867672,blue-c,61494563.0,3529500.0,1019862.0,0.015934297812732635,swimming pool,200439.0,2854473.0,104128.0,0.035288248817941265,body,1291612.0,891447.0,17361.0,0.008016353157273082,amusement_park-s,564480.0,1462014.0,239805.0,0.13421753869867672,spiralled,1605632.0,328594.0,17835.0,0.009306555916824907
231,object,toilet,0.13410385040039705,grey-c,159331282.0,3630334.0,1242593.0,0.007683653889004758,toilet,310112.0,1022130.0,157533.0,0.13410385040039705,lid,90429.0,955859.0,56786.0,0.05738846409608065,bathroom-s,9257472.0,997016.0,986415.0,0.10643150954896449,,24924928.0,12107.0,12107.0,0.0004857386147715251
210,scene,music_studio-s,0.13375572957077933,black-c,139916835.0,3328126.0,1198724.0,0.008438970474099923,tvmonitor,1019561.0,1557104.0,59552.0,0.023658850436988725,screen,677188.0,1073613.0,45328.0,0.02657796400177546,music_studio-s,275968.0,419573.0,82057.0,0.13375572957077933,studded,1593088.0,244498.0,29811.0,0.01649043713957766
263,scene,junkyard-s,0.1336911152610042,black-c,139916835.0,3426747.0,1013682.0,0.007122059384570635,car,5354795.0,2816824.0,715833.0,0.09601040051310486,wheel,1513439.0,1766191.0,108659.0,0.0342667908347317,junkyard-s,125440.0,649193.0,91349.0,0.1336911152610042,spiralled,1605632.0,288031.0,17057.0,0.009089281394176509
137,scene,lake-natural-s,0.1335425482567001,blue-c,61494563.0,3399857.0,738428.0,0.011509883597466625,water,5655946.0,3215541.0,698954.0,0.08552476937076914,wing,323329.0,1115932.0,22467.0,0.015857633502118162,lake-natural-s,551936.0,1363896.0,225704.0,0.1335425482567001,potholed,1580544.0,295587.0,18024.0,0.00970019487575258
321,scene,beauty_salon-s,0.13278651865540972,pink-c,18491188.0,3169329.0,122036.0,0.005665952023264779,toilet,310112.0,1267788.0,48917.0,0.03199316146745909,water tank,81859.0,805249.0,19517.0,0.022495622937536233,beauty_salon-s,489216.0,853187.0,157358.0,0.13278651865540972,matted,1593088.0,245699.0,86469.0,0.049345495509376724
359,scene,highway-s,0.13266937452320418,green-c,63326720.0,3656722.0,761994.0,0.011506755334012025,road,12902886.0,3466138.0,904937.0,0.058518618008292375,wheel,1513439.0,964902.0,51660.0,0.021288335796917683,highway-s,4076800.0,1636484.0,669196.0,0.13266937452320418,potholed,1580544.0,328306.0,110960.0,0.061716790237445
193,scene,cavern-indoor-s,0.13209676923392302,black-c,139916835.0,3449204.0,1062830.0,0.007468770433701182,rock,1616496.0,1981606.0,153518.0,0.044567936215229476,torso,7669375.0,488508.0,55304.0,0.006825481121504647,cavern-indoor-s,163072.0,720525.0,103101.0,0.13209676923392302,potholed,1580544.0,1295975.0,142683.0,0.052191499416936495
499,scene,gazebo-exterior-s,0.13176574603800187,green-c,63326720.0,3498693.0,577459.0,0.00871663146004479,house,1833277.0,3074909.0,93096.0,0.019334218051999027,roof,443437.0,864354.0,33118.0,0.025981565468163208,gazebo-exterior-s,363776.0,1784209.0,250079.0,0.13176574603800187,,24924928.0,359611.0,323067.0,0.012942626139996872
